DEPTH,WOB,RPM,ROP,GAS,MWO,BIT,Flow-In,Temp,SPP,CO2
6905,39.99,54.1394175166,6.15,0.007,9.4387755112,12,1095.3111903676,12.06,2662.6034958602,270.349
6906,21.5058,63.9933,7.5723,0.006,9.4387755112,12,1308.5657194711,11.88,3685.602575897,75.197
6907,27.9897,64.889075807,2.8491,0.005,9.4387755112,12,1307.3120612048,10.98,3679.5078196872,82.919
6908,25.0588,65.9299758175,2.7584,0.001,9.4387755112,12,1309.668329507,10.26,3620.0551977921,94.27814
6909,31.8467,66.3274103669,2.6063,0.001,9.4387755112,12,1306.1671190897,10.26,3610.9705611776,46.60427
6910,29.5745,66.2012406687,3.2357,0.001,9.4387755112,12,1305.3966670058,10.08,3671.8031278749,49.3120399999
6911,33.0203,66.4220376406,3.8096,0.001,9.4387755112,12,1306.8401837757,59.58,3669.388224471,20.60805
6912,36.0464,68.6110819052,4.757,0.001,9.4387755112,12,1306.5706841414,12.06,3667.2033118675,10.97721
6913,38.6974,68.7246346336,4.461,0.001,9.4387755112,12,1308.6611335114,10.98,3583.8316467341,7.78676
6914,42.1621,60.788560614,4.5615,0.003,9.4387755112,12,1309.3044295369,10.44,3552.0929162834,13.33312
6915,18.7649,68.7246346336,4.7064,0.002,9.4387755112,12,1309.3217938473,10.08,3518.2842686293,15.9426
6916,34.2752,68.5353800862,4.3461,0.001,9.4387755112,12,1307.130626543,9.36,3531.1637534499,18.24668
6917,51.5856,67.9676164441,3.9488,0.001,9.4387755112,12,1304.6328338761,9.36,3567.6172953082,14.9328
6918,49.6954,68.0685522027,3.4049,0.001,9.4387755112,12,1303.9482623157,10.26,3620.630174793,9.3251
6919,29.5666,67.9234570497,3.9474,0.001,9.4387755112,12,1308.6881449178,9.54,3545.8831646734,8.17157
6920,42.4169999999,68.2199558406,9.6013,0.002,9.4387755112,12,1309.3077340706,9.72,3517.479300828,10.64614
6921,73.5033,67.7657449269,6.7348,0.005,9.4387755112,12,1313.0673437877,9.72,3487.46550138,14.84085
6922,44.3062,68.7120176638,4.2527,0.005,9.4387755112,12,1313.4457179373,10.26,3544.5032198712,17.02123
6923,61.51,68.3587425087,5.5026,0.003,9.4387755112,12,1312.418765062,10.26,3530.8187672493,8.91267
6924,38.1085,67.8162128062,4.767,0.002,9.4387755112,12,1312.9355686667,9.36,3529.6688132475,7.60648
6925,73.3681,68.3208915992,4.4715,0.001,9.4387755112,12,1311.4016201042,9.36,3528.1738730451,9.00629
6926,50.4424,68.3461255388,4.6146,0.002,9.4387755112,12,1320.083471217,9.36,3341.1913523459,15.632
6927,53.6155,67.8414467459,4.0809,0.002,9.4387755112,12,1306.1398538307,9,3630.7497700092,31.68267
6928,50.1737,67.5134055304,4.1697,0.002,9.4387755112,12,1311.8592994232,9.54,3504.7148114076,32.88287
6929,47.6368,67.8666806855,4.1504,0.002,9.4387755112,12,1308.7343447968,9,3460.5565777369,27.49746
6930,54.2997,68.1064031122,5.1725,0.002,9.4387755112,12,1303.6955698384,8.64,3591.1913523459,24.97865
6931,59.1622,68.5038376617,4.4232,0,9.4387755112,12,1300.7929100332,-158.98,3676.4029438823,35.91963
6932,53.3307,67.8666806855,3.7676,0,9.4387755112,12,1305.3033340148,-159.7,3571.4121435143,54.14472
6933,42.9434,68.3587425087,5.4928,0,9.4387755112,12,1313.1402958664,-160.24,3383.739650414,48.858484
6934,63.9511,68.6047734203,4.6494,0.001,9.4387755112,12,1318.2053523268,-160.6,3289.4434222631,52.10118
6935,41.4743,68.3965934181,4.5927,0.001,9.4387755112,12,1318.7294324448,0,3315.8923643054,51.282384
6936,59.6694,68.3650509936,4.858,0.001,9.4387755112,12,1312.3688776849,0,3467.5712971481,50.780784
6937,54.5101,68.3587425087,4.6619,0.001,9.4387755112,12,1307.8209278938,170.86,3593.2612695492,50.280848
6938,39.8057,68.5732309957,4.8502,0,9.4387755112,12,1308.0719074698,171.22,3606.3707451702,49.97304
6939,53.2653,68.5227631164,4.8727,0.001,9.4387755112,12,1311.1155729628,171.94,3578.3118675253,52.46239
6940,55.7346,68.5984649353,5.139,0.001,9.4387755112,12,1319.332358234,172.48,3475.3909843606,63.3804
