Hole Depth: ft,Flow In: gal/min,GCT IN Mud Temp: F,GCT OUT Mud Temp: F,Mud Density In: lb/ft3,Mud Density Out: lb/ft3,ROP Average: ft/hr,RPM:,Torque LAS:,WOB: Klb,Standpipe Pressure: psi,QC Delta Carbon Dioxide: ppm
6905,1095.3111903676,140.36,152.42,-999.25,0.0147795496,6.15,54.1394175166,-999.25,39.99,2662.6034958602,270.349
6906,1308.5657194711,138.56,150.44,-999.25,74.0000000078,7.5723,63.9933,-999.25,21.5058,3685.602575897,75.197
6907,1307.3120612048,141.26,152.24,-999.25,74.0000000078,2.8491,64.889075807,-999.25,27.9897,3679.5078196872,82.919
6908,1309.668329507,142.88,153.14,-999.25,74.0000000078,2.7584,65.9299758175,-999.25,25.0588,3620.0551977921,94.27814
6909,1306.1671190897,144.14,154.4,-999.25,74.0000000078,2.6063,66.3274103669,-999.25,31.8467,3610.9705611776,46.60427
6910,1305.3966670058,145.94,156.02,-999.25,74.0000000078,3.2357,66.2012406687,-999.25,29.5745,3671.8031278749,49.3120399999
6911,1306.8401837757,97.88,157.46,-999.25,74.0000000078,3.8096,66.4220376406,-999.25,33.0203,3669.388224471,20.60805
6912,1306.5706841414,147.02,159.08,-999.25,74.0000000078,4.757,68.6110819052,-999.25,36.0464,3667.2033118675,10.97721
6913,1308.6611335114,147.74,158.72,-999.25,74.0000000078,4.461,68.7246346336,-999.25,38.6974,3583.8316467341,7.78676
6914,1309.3044295369,148.46,158.9,-999.25,74.0000000078,4.5615,60.788560614,-999.25,42.1621,3552.0929162834,13.33312
6915,1309.3217938473,149.36,159.44,-999.25,74.0000000078,4.7064,68.7246346336,-999.25,18.7649,3518.2842686293,15.9426
6916,1307.130626543,150.8,160.16,-999.25,74.0000000078,4.3461,68.5353800862,-999.25,34.2752,3531.1637534499,18.24668
6917,1304.6328338761,151.7,161.06,-999.25,74.0000000078,3.9488,67.9676164441,-999.25,51.5856,3567.6172953082,14.9328
6918,1303.9482623157,152.6,162.86,-999.25,74.0000000078,3.4049,68.0685522027,-999.25,49.6954,3620.630174793,9.3251
6919,1308.6881449178,152.96,162.5,-999.25,74.0000000078,3.9474,67.9234570497,-999.25,29.5666,3545.8831646734,8.17157
6920,1309.3077340706,153.14,162.86,-999.25,74.0000000078,9.6013,68.2199558406,-999.25,42.4169999999,3517.479300828,10.64614
6921,1313.0673437877,153.5,163.22,-999.25,74.0000000078,6.7348,67.7657449269,-999.25,73.5033,3487.46550138,14.84085
6922,1313.4457179373,154.58,164.84,-999.25,74.0000000078,4.2527,68.7120176638,-999.25,44.3062,3544.5032198712,17.02123
6923,1312.418765062,155.12,165.38,-999.25,74.0000000078,5.5026,68.3587425087,-999.25,61.51,3530.8187672493,8.91267
6924,1312.9355686667,156.2,165.56,-999.25,74.0000000078,4.767,67.8162128062,-999.25,38.1085,3529.6688132475,7.60648
6925,1311.4016201042,156.38,165.74,-999.25,74.0000000078,4.4715,68.3208915992,-999.25,73.3681,3528.1738730451,9.00629
6926,1320.083471217,156.92,166.28,-999.25,74.0000000078,4.6146,68.3461255388,-999.25,50.4424,3341.1913523459,15.632
6927,1306.1398538307,157.82,166.82,-999.25,74.0000000078,4.0809,67.8414467459,-999.25,53.6155,3630.7497700092,31.68267
6928,1311.8592994232,158.54,168.08,-999.25,74.0000000078,4.1697,67.5134055304,-999.25,50.1737,3504.7148114076,32.88287
6929,1308.7343447968,159.26,168.26,-999.25,74.0000000078,4.1504,67.8666806855,-999.25,47.6368,3460.5565777369,27.49746
6930,1303.6955698384,159.62,168.26,-999.25,74.0000000078,5.1725,68.1064031122,-999.25,54.2997,3591.1913523459,24.97865
6931,1300.7929100332,159.98,-999.25,-999.25,74.0000000078,4.4232,68.5038376617,-999.25,59.1622,3676.4029438823,35.91963
6932,1305.3033340148,160.7,-999.25,-999.25,74.0000000078,3.7676,67.8666806855,-999.25,53.3307,3571.4121435143,54.14472
6933,1313.1402958664,161.24,-999.25,-999.25,74.0000000078,5.4928,68.3587425087,-999.25,42.9434,3383.739650414,48.858484
6934,1318.2053523268,161.6,-999.25,-999.25,74.0000000078,4.6494,68.6047734203,-999.25,63.9511,3289.4434222631,52.10118
6935,1318.7294324448,-999.25,-999.25,-999.25,74.0000000078,4.5927,68.3965934181,-999.25,41.4743,3315.8923643054,51.282384
6936,1312.3688776849,-999.25,-999.25,-999.25,74.0000000078,4.858,68.3650509936,-999.25,59.6694,3467.5712971481,50.780784
6937,1307.8209278938,-999.25,171.86,-999.25,74.0000000078,4.6619,68.3587425087,-999.25,54.5101,3593.2612695492,50.280848
6938,1308.0719074698,-999.25,172.22,-999.25,74.0000000078,4.8502,68.5732309957,-999.25,39.8057,3606.3707451702,49.97304
6939,1311.1155729628,-999.25,172.94,-999.25,74.0000000078,4.8727,68.5227631164,-999.25,53.2653,3578.3118675253,52.46239
6940,1319.332358234,-999.25,173.48,-999.25,74.0000000078,5.139,68.5984649353,-999.25,55.7346,3475.3909843606,63.3804
6941,1320.6843603148,-999.25,173.84,-999.25,74.0000000078,5.0608,68.4722952371,-999.25,52.3414,3438.2474701012,72.324522
6942,1316.3336774638,165.38,174.38,-999.25,74.0000000078,7.1172,68.3713594785,-999.25,63.214,3464.2364305428,91.498648
6943,1318.7825223199,165.56,174.74,-999.25,74.0000000078,6.8247,68.3965934181,-999.25,47.6586,3449.5170193192,102.94243
6944,1314.9518476561,166.1,175.46,-999.25,74.0000000078,5.3122,68.2262643255,-999.25,36.708,3524.9540018399,113.2645400001
6945,1310.4879431157,166.28,175.28,-999.25,74.0000000078,5.5252,68.623698875,-999.25,44.4877,3570.9521619135,23.48821
6946,1309.1821541911,166.46,175.28,-999.25,74.0000000078,5.052,68.333508569,-999.25,50.1474,3570.9521619135,29.71012
6947,1310.5622778002,167.18,176,-999.25,74.0000000078,5.2471,68.0180843234,-999.25,44.8721,3602.2309107636,36.0298
6948,1309.9280911634,167.72,176.9,-999.25,74.0000000078,4.9583,68.0874776574,-999.25,38.3657,3627.2999080037,42.79128
6949,1311.7598852133,168.08,176.9,-999.25,74.0000000078,4.7919,67.6648091683,-999.25,59.4587,3598.5510579577,18.53774
6950,1311.7729570791,168.62,177.08,-999.25,74.0000000078,4.9768,67.6648091683,-999.25,33.5587,3540.8233670653,45.3952
6951,1312.4614511657,168.8,177.26,-999.25,74.0000000078,4.6782,68.3398170539,-999.25,30.5389,3569.1122355106,50.85666
6952,1311.1162223279,168.98,177.44,-999.25,74.0000000078,6.4709,68.9769740301,-999.25,38.3105,3559.9126034959,60.42851
6953,1315.8323120508,169.52,177.8,-999.25,74.0000000078,5.5639,68.1442540217,-999.25,34.4112,3473.4360625575,70.65613
6954,1313.3957521131,170.06,178.7,-999.25,74.0000000078,4.9642,68.7246346336,-999.25,35.5656,3466.9963201472,88.44377
6955,1310.5093619884,170.6,178.88,-999.25,74.0000000078,5.3772,68.4344443276,-999.25,40.1093,3516.214351426,103.568
6956,1309.2197304235,170.78,179.24,-999.25,74.0000000078,5.0953,68.0180843234,-999.25,43.0131,3581.9917203312,102.7778700001
